0,962,175
1,1096,620
2,969,614
3,905,702
4,944,575
5,942,738
6,960,473
7,889,496
8,966,610
9,988,659
10,1022,605
11,962,685
12,928,686
13,986,713
14,969,611
15,981,613
16,1060,766
17,1060,774
18,981,778
19,981,784
20,950,797
21,955,748
22,1002,759
23,975,747
24,1027,743
25,960,773
26,985,836
27,1025,841
28,1007,813
29,1060,806
30,1075,808
31,1146,911
32,1117,907
33,1124,843
34,1115,925
35,1115,848
36,1060,816
37,1088,789
38,1088,765
39,1150,799
40,1150,792
41,1150,768
42,1040,803
43,1058,803
44,1058,857
45,972,805
46,1074,779
47,1050,758
48,1063,742
49,1037,809
